source_category,keyword,count
policy,청년,17882
policy,정책,7689
policy,교육,4189
policy,조건,4173
policy,분야,3652
policy,취업,3568
policy,창업,3527
policy,제한,3236
policy,방법,2916
policy,주관,2751
policy,연령,2683
policy,나이,2661
policy,요약,2612
policy,워드,2610
policy,소득,2549
policy,활동,2414
policy,일자리,2407
policy,문화,2268
policy,서류,2240
policy,지급,1983
policy,제출,1904
policy,출처,1672
policy,주택,1647
policy,자격,1620
policy,주거,1555
policy,심사,1508
policy,최대,1477
policy,대학,1454
policy,역량,1396
policy,개월,1390
policy,거주,1380
policy,강화,1369
policy,상담,1330
policy,복지,1295
policy,맞춤,1265
policy,통한,1225
policy,추가,1219
policy,사회,1178
policy,산업,1171
policy,주민등록,1170
policy,가구,1066
policy,이내,1051
policy,자립,1043
policy,구직,1021
policy,고용,1007
policy,기술,986
policy,대출,976
policy,금융,972
policy,접수,957
policy,광주,936
policy,정착,908
policy,기반,902
policy,공간,888
policy,면접,876
policy,부담,871
policy,울산,863
policy,인재,855
policy,양성,853
policy,경제,844
policy,채용,844
policy,시설,842
policy,보조금,833
policy,본인,826
policy,안정,798
policy,온라인,791
policy,보험,791
policy,건강,768
policy,증명서,753
policy,대학생,752
policy,농업인,746
policy,제외,733
policy,홈페이지,733
policy,발굴,733
policy,중소기업,723
policy,미래,722
policy,육성,720
policy,준비,718
policy,생활,708
policy,수당,702
policy,원금,700
policy,인력,699
policy,신청서,696
policy,활성화,696
policy,포함,695
policy,예술,693
policy,관리,685
policy,기회,683
policy,응시,682
policy,직업,674
policy,급여,672
policy,중위,670
policy,월세,669
policy,자격증,665
policy,개발,664
policy,종료,661
policy,필수,657
policy,백만원,647
policy,근로자,645
policy,추진,639
policy,전문,635
startup_notice,창업,41611
startup_notice,청년,19800
startup_notice,예비,12227
startup_notice,교육,5593
startup_notice,대학생,4935
startup_notice,일반인,4841
startup_notice,연령,4476
startup_notice,업력,4249
startup_notice,창조,4224
startup_notice,대학,3995
startup_notice,통합,3918
startup_notice,상세,3878
startup_notice,분류,3808
startup_notice,제목,3795
startup_notice,요약,3791
startup_notice,일반,3731
startup_notice,방법,3234
startup_notice,스타트업,3023
startup_notice,관심,2956
startup_notice,오니,2856
startup_notice,이내,2722
startup_notice,기술,2713
startup_notice,미만,2684
startup_notice,공간,2583
startup_notice,분야,2528
startup_notice,다음,2434
startup_notice,초기,2428
startup_notice,보육,2349
startup_notice,청소년,2320
startup_notice,아이디어,2299
startup_notice,연구기관,2176
startup_notice,혁신,2132
startup_notice,창업가,2041
startup_notice,온라인,2014
startup_notice,희망,1991
startup_notice,시설,1873
startup_notice,서울,1831
startup_notice,전국,1823
startup_notice,보유,1731
startup_notice,등록,1622
startup_notice,멘토링,1575
startup_notice,캠퍼스,1505
startup_notice,육성,1494
startup_notice,컨설팅,1491
startup_notice,이메일,1454
startup_notice,산업,1396
startup_notice,참가자,1377
startup_notice,발굴,1361
startup_notice,우대,1331
startup_notice,거주,1330
startup_notice,아래,1326
startup_notice,타운,1319
startup_notice,아이템,1306
startup_notice,사회,1238
startup_notice,대회,1230
startup_notice,대표자,1227
startup_notice,개월,1213
startup_notice,개인,1165
startup_notice,소재,1157
startup_notice,성장,1106
startup_notice,역량,1106
startup_notice,네트워크,1103
startup_notice,경진,1096
startup_notice,법인,1080
startup_notice,행사,1031
startup_notice,이전,955
startup_notice,참여자,951
startup_notice,여성,923
startup_notice,학교,910
startup_notice,활성화,902
startup_notice,이후,899
startup_notice,기반,878
startup_notice,투자,846
startup_notice,신규,831
startup_notice,계획,828
startup_notice,진행,819
startup_notice,성공,793
startup_notice,서울시,782
startup_notice,참가,781
startup_notice,강동구,780
startup_notice,준비,762
startup_notice,프로젝트,760
startup_notice,글로벌,759
startup_notice,소셜,756
startup_notice,자격,738
startup_notice,중소기업,722
startup_notice,경기도,706
startup_notice,일자리,700
startup_notice,도전,698
startup_notice,활용,688
startup_notice,유망,684
startup_notice,콘텐츠,676
startup_notice,패키지,672
startup_notice,부산,665
startup_notice,벤처기업,665
startup_notice,특강,645
startup_notice,테크,642
startup_notice,추가,635
startup_notice,주민등록,634
startup_notice,아카데미,622
training,근로자,25077
training,코드,20490
training,상세,20469
training,훈련기,20403
training,서울,19886
training,데이터,17312
training,실업자,14877
training,일반,14391
training,배움,14007
training,카드,14004
training,국민,13981
training,활용,12330
training,디지털,10955
training,산업,10775
training,한국,10701
training,협회,10418
training,강남구,8628
training,실무,8211
training,평생교육,8000
training,경기,7612
training,부산,7535
training,취득,7164
training,러닝,7100
training,에듀,6800
training,컴퓨터,6550
training,부산진구,6296
training,지능,6284
training,자격증,6252
training,인공,6249
training,주식회사,6226
training,분석,5995
training,빅데이터,5812
training,플러스,5803
training,학원,5118
training,시대,5109
training,구로구,5038
training,아카데미,5028
training,이러닝,4514
training,필기,4431
training,고양시,4414
training,실기,4353
training,일산동구,4348
training,개발,4168
training,인천,4142
training,테크,4039
training,양성,4007
training,사단법인,3912
training,그린,3864
training,윈스,3750
training,펙원격,3750
training,전략,3510
training,국가,3439
training,기초,3405
training,능력,3395
training,기사,3355
training,전산,3117
training,회계,3075
training,자격,2931
training,제작,2823
training,직종,2703
training,콘텐츠,2624
training,패스,2524
training,스마트,2517
training,디자인,2467
training,직업,2430
training,영등포구,2338
training,종합,2315
training,기타,2265
training,미래,2228
training,성형,2199
training,교육,2184
training,퓨어,2164
training,컨버전,2109
training,엑셀,2093
training,세무,2092
training,상위,2079
training,파이썬,2037
training,비원,2032
training,업무,2022
training,역량,1971
training,요양보호사,1961
training,기능사,1904
training,취업,1880
training,향상,1869
training,포토샵,1854
training,기술,1767
training,프로그래밍,1766
training,이론,1761
training,구조,1755
training,기반,1719
training,융합,1710
training,변화,1707
training,핵심,1668
training,대응,1641
training,영상,1625
training,시작,1611
training,마케팅,1602
training,평가,1596
training,비즈니스,1581
training,건축,1535
