model,status,seed,similar_words,note
Word2Vec,trained_sample,청년,창업:0.917|스타트업:0.889|당진시:0.869|울산:0.868|글로벌:0.859,평가/분석용 샘플 학습이며 서비스 검색에는 사용하지 않음
Word2Vec,trained_sample,창업,청년:0.917|예비:0.872|경진:0.832|캠퍼스:0.811|스타트업:0.81,평가/분석용 샘플 학습이며 서비스 검색에는 사용하지 않음
Word2Vec,trained_sample,취업,직종:0.882|상담:0.881|국가:0.875|인턴:0.868|전략:0.865,평가/분석용 샘플 학습이며 서비스 검색에는 사용하지 않음
Word2Vec,trained_sample,교육,컨설팅:0.921|참가자:0.912|멘토링:0.892|상담:0.879|강동구:0.867,평가/분석용 샘플 학습이며 서비스 검색에는 사용하지 않음
Word2Vec,trained_sample,데이터,코드:0.968|서초구:0.967|훈련기:0.967|동작구:0.963|상세:0.962,평가/분석용 샘플 학습이며 서비스 검색에는 사용하지 않음
FastText,trained_sample,청년,스타트:0.768|스타트업:0.750|서구청년:0.747|스파크:0.740|하반기:0.735,평가/분석용 샘플 학습이며 서비스 검색에는 사용하지 않음
FastText,trained_sample,창업,스타트:0.775|허브:0.754|예비:0.754|당진:0.753|스타트업:0.752,평가/분석용 샘플 학습이며 서비스 검색에는 사용하지 않음
FastText,trained_sample,취업,알선:0.808|구인:0.805|인턴:0.792|구직:0.785|전지원:0.784,평가/분석용 샘플 학습이며 서비스 검색에는 사용하지 않음
FastText,trained_sample,교육,교육장:0.816|교육사:0.801|교육자:0.800|교육청:0.797|수강생:0.771,평가/분석용 샘플 학습이며 서비스 검색에는 사용하지 않음
FastText,trained_sample,데이터,데이터베이스:0.891|데이터시각화:0.889|바이블:0.855|동래구:0.847|러시:0.843,평가/분석용 샘플 학습이며 서비스 검색에는 사용하지 않음
